"PUBLICATION_NUMBER","PUBLICATION_DATE","IPO_LOCATION","APPLICATION_TYPE_DESC","APPLICATION_NUMBER","DATE_OF_FILING","TITLE_OF_INVENTION","FIELD_OF_INVENTION","NO_OF_PAGES","NO_OF_CLAIMS","DATE_UPDATED_d_m_y"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","3466/DELNP/2010","17/05/2010","“MANUFACTURE OF COATED MATERIALS FOR USE AS ACTIVATORS IN SULPHUR VULCANIZATION”","CHEMISTRY","39","51","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","3488/DELNP/2009","28/05/2009","“APPARATUS FOR MANUFACTURING COMPACTED IRON""","METALLURGY","21","25","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","3490/DELNP/2006","16/06/2006","""OPTICAL DEVICE FOR SIMULTANEOUSLY GENERATING AND PROCESSING OPTICAL CODES ""","PHYSICS","58","45","19/04/2023"
"14/2017","07/04/2017","Chennai","CONVENTION APPLICATION","355/CHE/2007","21/02/2007","ANTIMICROBIAL ZEOLITE AND ANTIMICROBIAL COMPOSITION","CHEMISTRY","16","4","19/04/2023"
"14/2017","07/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","3573/CHENP/2011","25/05/2011","""PROCESS FOR PRODUCING ORGANOLITHIUM COMPOUND AND PROCESS FOR PRODUCING SUBSTITUTED AROMATIC COMPOUND""","CHEMISTRY","83","14","19/04/2023"
"14/2017","07/04/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","3593/KOLNP/2011","29/08/2011","WATER PURIFYING APPARATUS HAVING CLEANING SYSTEM","MECHANICAL","31","19","19/04/2023"
"14/2017","07/04/2017","Kolkata","CONVENTION APPLICATION","36/KOL/2011","12/01/2011","ENGINE EXHAUST SYSTEM AND METHOD OF OPERATION","MECHANICAL","16","10","19/04/2023"
"14/2017","07/04/2017","Delhi","CONVENTION APPLICATION","365/DEL/2003","25/03/2003","""CARBURETOR""","MECHANICAL","35","2","19/04/2023"
"14/2017","07/04/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","3651/KOLNP/2008","08/09/2008","ADJUSTING THE POSITION OF A MOBILE RADIOLOGY FACILITY","ELECTRONICS","29","19","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","3716/DELNP/2010","26/05/2010","""TRACKING FILTER FOR A RECEIVER""","NA","31","25","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","373/DELNP/2012","13/01/2012","""ORGANIC-SULPHIDE COMPOSITION WITH MASKED ODOUR""","CHEMISTRY","19","13","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","3791/DELNP/2010","28/05/2010","""LSX ZEOLITE OF CONTROLLED PARTICLE SIZE""","CHEMISTRY","22","12","19/04/2023"
"14/2017","07/04/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","3799/KOLNP/2010","11/10/2010","METHOD FOR THE PRODUCTION OF HALOGEN-SUBSTITUTED 2-(AMINOMETHYLIDENE)-3-OXOBUTYRIC ACID ESTERS","CHEMISTRY","36","17","19/04/2023"
"14/2017","07/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","3816/CHENP/2011","02/06/2011","PERVIOUS CONCRETE COMPOSITION","CHEMISTRY","18","12","19/04/2023"
"14/2017","07/04/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","3819/KOLNP/2009","03/11/2009","POLYMERS HAVING COVALENTLY BOUND ANTIBIOTIC AGENTS","NA","20","4","19/04/2023"
"14/2017","07/04/2017","Kolkata","ORDINARY APPLICATION","383/KOL/2008","29/02/2008","COMPOSITE TWO PIECE, MANUFACTURING FRIENDLY RUNNER HUB FOR KAPLAN TYPE HYDRO TURBINE","MECHANICAL","13","3","19/04/2023"
"14/2017","07/04/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","3830/KOLNP/2008","19/09/2008","INTEGRATED CHARGE AIR AND EGR VALVE","MECHANICAL","22","20","19/04/2023"
"14/2017","07/04/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","384/KOLNP/2010","01/02/2010","METHOD AND APPARATUS FOR OPERATING HYBRID AUTOMATIC REPORT REQUEST(HARQ) IN A COMMUNICATION SYSTEM","COMMUNICATION","46","16","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","3884/DELNP/2007","24/05/2007","""DOOR HANDLE RETAINER SYSTEM.""","MECHANICAL","16","20","19/04/2023"
"14/2017","07/04/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","3913/KOLNP/2007","12/10/2007","ELASTOMERIC SPRING-DAMPER WITH INTEGRAL STOPS","MECHANICAL","26","22","19/04/2023"
"14/2017","07/04/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","3936/KOLNP/2010","21/10/2010","A CAST-IRON PIPE PROVIDED WITH A CORROSION PREVENTION LAYER ON AN  OUTSIDE SURFCE THEREOF","CHEMISTRY","44","11","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","3954/DELNP/2007","25/05/2007","""A VAPOR-LIQUID CONTACTING TRAY""","MECHANICAL","31","11","19/04/2023"
"14/2017","07/04/2017","Mumbai","PCT NATIONAL PHASE APPLICATION","396/MUMNP/2010","02/03/2010","“RESPONDING TO AN INTERACTIVE MULTICAST MESSAGE WITHIN A WIRELESS COMMUNICATION SYSTEM”","ELECTRONICS","73","80","19/04/2023"
"14/2017","07/04/2017","Delhi","CONVENTION APPLICATION","397/DEL/2010","23/02/2010","""HOT ROLLING SIMULATION APPARATUS AND METHOD OF SIMULATING ROLLING HISTORY""","MECHANICAL","68","16","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","3981/DELNP/2012","05/05/2012","ANTIFOULING COATING COMPOSITION, ANTIFOULING FILM, COMPOSITE FILM, AND IN-WATER STRUCTURE","CHEMISTRY","78","14","19/04/2023"
"14/2017","07/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","403/CHENP/2010","21/01/2010","METHOD AND APPARATUS FOR SUPPORTING BROADCAST AND MULTICAST SERVICES IN A WIRELESS COMMUNICATION SYSTEM","ELECTRONICS","46","44","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","4040/DELNP/2010","07/06/2010","""AN ADENOVIRUSES HAVING A CAPSID COMPRISING A HEXON PROTEIN,A PENTON PROTEIN AND A FIBER PROTEIN""","BIOTECHNOLOGY","326","21","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","407/DELNP/2011","19/01/2011","""PMDC FEEDBACK SIGNAL FOR ALTERNATE POLARIZATION DPSK SYSTEM""","NA","12","10","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","4080/DELNP/2007","30/05/2007","""BANDWIDTH-CONSTRAINED SIGNAL CONDITIONING""","ELECTRONICS","33","36","19/04/2023"
"14/2017","07/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","4121/CHENP/2008","05/08/2008","METHOD FOR CRYPTOGRAPHIC SYNCHRONIZATION","COMMUNICATION","19","9","19/04/2023"
"14/2017","07/04/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","4125/KOLNP/2007","26/10/2007","FOREHEARTH","METALLURGY","30","30","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","4148/DELNP/2009","23/06/2009","""USING DTX AND DRX IN WIRELESS COMMUNICATION SYSTEM""","ELECTRONICS","50","42","19/04/2023"
"14/2017","07/04/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","4156/KOLNP/2007","29/10/2007","METHOD FOR THE LASER MARKING OF A CARD","MECHANICAL","34","18","19/04/2023"
"14/2017","07/04/2017","Delhi","CONVENTION APPLICATION","418/DEL/2010","24/02/2010","“MECHANICAL FORMING PRESS”","MECHANICAL","14","15","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","4196/DELNP/2007","01/06/2007","""METHOD AND APPARATUS FOR CONDITIONING LIQUID HYDROCARBON FUELS""","MECHANICAL","18","28","19/04/2023"
"14/2017","07/04/2017","Mumbai","PCT NATIONAL PHASE APPLICATION","423/MUMNP/2010","04/03/2010","“DE-REGISTERING A MULTICAST GROUP MEMBER FROM A MULTICAST GROUP WITHIN A WIRELESS COMMUNICATIONS NETWORK”","ELECTRONICS","60","47","19/04/2023"
"14/2017","07/04/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","4272/KOLNP/2010","15/11/2010","QUINAZOLINE DERIVATIVES","CHEMISTRY","20","26","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","4279/DELNP/2006","25/07/2006","""A LIPOPHILE COMPLEXES""","CHEMISTRY","42","17","19/04/2023"
"14/2017","07/04/2017","Delhi","DIVISIONAL PCT NATIONAL PHASE APPLICATION","4290/DELNP/2010","16/06/2010","""A LOW DENSITY SUBSTANTIALLY LINEAR POLYETHYLENE""","POLYMER","31","7","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","4293/DELNP/2010","16/06/2010","""NOVEL AMINOGLYCOSIDE ANTIBIOTICS, PROCESS FOR PRODUCING THE SAME, AND PHARMACEUTICAL USE THEREOF""","CHEMISTRY","38","20","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","444/DELNP/2007","17/01/2007","""ULTRASONIC CONTRAST AGENT DETECTON AND IMAGING BY LOW FREQUENCY MANIPULATION OF HIGH FREQUENCY SCATTERING PROPERTIES""","PHYSICS","23","10","19/04/2023"
"14/2017","07/04/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","4470/KOLNP/2008","05/11/2008","METHOD AND APPARATUS FOR INTRODUCING A SEALING COMPOUND INTO A FILTER DEVICE","MECHANICAL","15","12","19/04/2023"
"14/2017","07/04/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","4509/KOLNP/2009","29/12/2009","PROTECTIVE DEVICE AND METHOD FOR OPERATING A PROTECTIVE DEVICE","ELECTRICAL","32","22","19/04/2023"
"14/2017","07/04/2017","Delhi","CONVENTION APPLICATION","453/DEL/2003","27/03/2003","""ENGINE STARTING APPARATUS""","MECHANICAL","42","6","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","4587/DELNP/2009","14/07/2009","“METHOD FOR THE CHEMO-SELECTIVE ENZYMATIC HYDROLYSIS IF A DIESTER COMPOUND FOR PREPARING A MONOESTER MONOACID COMPOUND”","CHEMISTRY","15","23","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","4588/DELNP/2009","14/07/2009","""LOADING AND UNLOADING DEVICE FOR RECEPTACLES, SUCH AS CONTAINERS, SILOS AND OTHER FILLING SPACES""","MECHANICAL","25","9","19/04/2023"
"14/2017","07/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","4600/CHENP/2009","05/08/2009","""POROUS INORGANIC/ORGANIC HYBRID PARTICLES HAVING HIGH ORGANIC CONTENT AND ENHANCED PORE GEOMETRY FOR CHROMATOGRAPHIC  SEPARATIONS""","CHEMISTRY","115","27","19/04/2023"
"14/2017","07/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","4618/CHENP/2012","25/05/2012","METHOD OF PREPARING HIGHLY FLUORINATED CARBOXYLIC ACIDS AND THEIR SALTS","CHEMISTRY","17","10","19/04/2023"
"14/2017","07/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","4632/CHENP/2009","06/08/2009","DERMAL FILM-FORMING LIQUID FORMULATIONS FOR DRUG RELEASE TO SKIN","CHEMISTRY","21","18","19/04/2023"
"14/2017","07/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","4655/CHENP/2008","02/09/2008","CLEAR CHANNEL REPORTING AND ASSISTING ORPHANED NODES IN A WIRELESS NETWORK","ELECTRONICS","21","10","19/04/2023"
"14/2017","07/04/2017","Kolkata","CONVENTION APPLICATION","469/KOL/2008","06/03/2008","AN IMPROVED MULTIPLE SPEED TRANSMISSION WITH EIGHT OR MORE SPEEDS","MECHANICAL","42","11","19/04/2023"
"14/2017","07/04/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","4692/KOLNP/2007","04/12/2007","FLUID FRICTION CLUTCH","MECHANICAL","18","14","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","471/DELNP/2008","17/01/2008","""DISPLAY UNIT COMPRISING DISPLACEABLE DISPLAY ELEMENTS THAT CAN BE FIXED""","ELECTRONICS","41","44","19/04/2023"
"14/2017","07/04/2017","Delhi","DIVISIONAL PCT NATIONAL PHASE APPLICATION","4725/DELNP/2011","20/06/2011","HYDROPHILIC POLYMERS AND THEIR USE IN ELECTROCHEMICAL CELLS","POLYMER","35","23","19/04/2023"
"14/2017","07/04/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","4725/KOLNP/2008","21/11/2008","SWITCHING PATTERN CREATING METHOD FOR AC-AC DIRECT CONVERSION DEVICE","ELECTRICAL","41","9","19/04/2023"
"14/2017","07/04/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","477/KOLNP/2010","05/02/2010","METHOD FOR MANUFACTURING HIGH STRENGTH HOT ROLLED STEEL SHEET","METALLURGY","34","2","19/04/2023"
"14/2017","07/04/2017","Delhi","ORDINARY APPLICATION","481/DEL/2006","22/04/2006","IMPROVED NEEM LARVICIDAL COMPOSITIONS","CHEMISTRY","8","5","19/04/2023"
"14/2017","07/04/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","481/KOLNP/2008","04/02/2008","A CUTTING INSERT FOR TURNING WITH A RECESS INTENDED TO GIVE ROOM FOR A COOLING JET","CIVIL","18","8","19/04/2023"
"14/2017","07/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","4815/CHENP/2008","11/09/2008","STREAMING AND BUFFERING USING VARIABLE FEC OVERHEAD AND PROTECTION PERIODS","ELECTRONICS","48","2","19/04/2023"
"14/2017","07/04/2017","Delhi","ORDINARY APPLICATION","482/DEL/2006","22/04/2006","""A SLOW OR CONTROLLED RELEASE MOSQUITO LARVICIDAL COMPOSITION AND A PROCESS FOR PREPARATION THEREOF""","CHEMISTRY","1","6","19/04/2023"
"14/2017","07/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","4825/CHENP/2008","12/09/2008","A STRUCTURE OF FABRIC AND ELECTRONIC COMPONENTS","TEXTILE","14","14","19/04/2023"
"14/2017","07/04/2017","Kolkata","ORDINARY APPLICATION","484/KOL/2009","18/03/2009","A MULTIPLE PORT DEVICE FOR SMOOTH EXTRACTING OF ASH FROM THE BED OF THE GASIFIER","MECHANICAL","16","10","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","4851/DELNP/2007","22/06/2007","""ORAL CARE COMPOSITIONS CONTAINING FLAVONOIDS AND FLAVANS""","CHEMISTRY","43","47","19/04/2023"
"14/2017","07/04/2017","Kolkata","CONVENTION APPLICATION","488/KOL/2005","09/06/2005","METHOD AND APPARATUS FOR DATA TRANSMISSION IN A MOBILE TELECOMMUNICATION SYSTEM SUPPORTING ENHANCED UPLINK SERVICE","COMMUNICATION","34","28","19/04/2023"
"14/2017","07/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","4907/CHENP/2009","20/08/2009","""VERIFICATION OF PROCESS VARIABLE TRANSMITTER""","PHYSICS","24","25","19/04/2023"
"14/2017","07/04/2017","Kolkata","ORDINARY APPLICATION","502/KOL/2009","20/03/2009","A PROCESS FOR ON-LINE REPLACEMENT OF A DAMAGED RETURN LIQUOR PIPE LINE IN THE COKE OVEN PLANT","MECHANICAL","23","3","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","5025/DELNP/2010","09/07/2010","""SECURE COMBINED INTEROPERABLE MULTIPLEXING""","NA","97","15","19/04/2023"
"14/2017","07/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","5045/CHENP/2008","23/09/2008","METHODS AND DEVICES FOR QUICKLY LAUNCHING APPLICATIONS","ELECTRONICS","19","10","19/04/2023"
"14/2017","07/04/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","505/KOLNP/2010","08/02/2010","METHOD, APPRATUS AND SYSTEM FOR CORRELATING PCEF ENTITY","ELECTRONICS","51","27","19/04/2023"
"14/2017","07/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","5064/CHENP/2009","28/08/2009","""METHODS AND APPARATUS FOR INITIAL ACQUISITION GAIN CONTROL IN A COMMUNICATION SYSTEM""","COMMUNICATION","22","36","19/04/2023"
"14/2017","07/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","5065/CHENP/2008","23/09/2008","A LIGHT EMITTING DEVICE WITH A DRIVER AND A PLANAR LIGHT EMITTING ELEMENT","ELECTRICAL","17","10","19/04/2023"
"14/2017","07/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","5083/CHENP/2009","28/08/2009","""NOVEL PROCESS FOR PERPARING TETA VIA EDDN""","CHEMISTRY","43","21","19/04/2023"
"14/2017","07/04/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","512/KOLNP/2011","01/02/2011","THICK-WALLED HIGH-STRENGTH HOT ROLLED STEEL SHEET WITH EXCELLENT LOW-TEMPERATURE TOUGHNESS AND METHOD FOR PRODUCING SAME","METALLURGY","114","12","19/04/2023"
"14/2017","07/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","5192/CHENP/2009","03/09/2009","'METHOD FOR LITHIUM EXCHANGE REACTIONS""","CHEMISTRY","19","14","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","5203/DELNP/2011","06/07/2011","""HYLAURONIC ACID CONTAINING COMPOSITIONS FOR TREATMENT OF WOUNDS, SCARS, POST-SURGICAL  ADHESION FORMATION""","BIOTECHNOLOGY","29","10","19/04/2023"
"14/2017","07/04/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","5216/KOLNP/2008","22/12/2008","DEVICE FOR TREATING, IN PARTICULAR MASSAGING, THE CONNECTIVE TISSUE OF THE SKIN","BIOMEDICAL","29","14","19/04/2023"
"14/2017","07/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","5239/CHENP/2009","07/09/2009","""METHOD, SYSTEM AND APPARATUS FOR DISPLAYING PICTURES IN IM TOOL""","ELECTRONICS","22","15","19/04/2023"
"14/2017","07/04/2017","Delhi","ORDINARY APPLICATION","527/DEL/2006","28/02/2006","""A METHOD FOR REMOVING OIL FROM OIL-IN-WATER INDUSTRIAL EFFLUENT""","CHEMISTRY","15","11","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","5338/DELNP/2009","19/08/2009","DYNAMIC MOULD TOOL","MECHANICAL","24","18","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","5339/DELNP/2007","10/07/2007","WIPES BEING FORMED INTO A NON-PLANAR FORM AND DISPENSES FOR STORING SAID WIPES","MECHANICAL","8","14","19/04/2023"
"14/2017","07/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","5369/CHENP/2009","11/09/2009","PROGRAMMABLE ON SCREEN DISPLAY AND REMOTE CONTROL","ELECTRONICS","31","27","19/04/2023"
"14/2017","07/04/2017","Delhi","CONVENTION APPLICATION","537/DEL/2004","19/03/2004","""STRUCTURE OF INSTALLING HANDLEBAR GRIP FOR MOTORCYCLE""","MECHANICAL","31","7","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","5376/DELNP/2010","27/07/2010","""COMPOSITIONS AND PROCESSES FOR IMPROVED MASS SPECTROMETRY ANALYSIS""","CHEMISTRY","39","46","19/04/2023"
"14/2017","07/04/2017","Delhi","CONVENTION APPLICATION","543/DEL/2004","22/03/2004","""SCOOTER-TYPE VEHICLE""","MECHANICAL","23","3","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","5489/DELNP/2006","21/09/2006","""CLUTCH, ESPECIALLY FOR A MOTOR VEHICLE, COMPRISING AN IMPROVED COVER MECHANISM""","MECHANICAL","27","25","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","5505/DELNP/2011","18/07/2011","""POLYMER INHIBITION OF VINYL AROMATIC MONOMERS USING A QUINONE METHIDE/ALKYL, HYDROXOMINE COMBINATION""","CHEMISTRY","10","15","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","5527/DELNP/2010","03/08/2010","""PLANT FOR THE HARDENED GALVANISATION OF A STEEL STRIP""","CHEMISTRY","35","39","19/04/2023"
"14/2017","07/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","5531/CHENP/2009","18/09/2009","""AQUEOUS DISPERSIONS AND THEIR USE FOR THE PRODUCTION OF SHEET-LIKE SUBSTRATES""","POLYMER","27","12","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","5577/DELNP/2010","05/08/2010","""USE OF A COMPOSITION FOR TREATING THE SURFACES OF LIVESTOCK BUILDINGS AND/OR THE MATERIAL THEREIN""","CHEMISTRY","15","10","19/04/2023"
"14/2017","07/04/2017","Mumbai","PCT NATIONAL PHASE APPLICATION","56/MUMNP/2008","10/01/2008","SYSTEM AND METHOD OF CONTROLLING POWER IN A MULTI-THREADED PROCESSOR","COMPUTER","48","52","19/04/2023"
"14/2017","07/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","5622/CHENP/2009","23/09/2009","""AN EX VIVO METHOD FOR PROCESSING  BIOLOGICAL TISSUE TO INCREASE THEIR BIOCOMPATIBILITY""","BIOMEDICAL","13","14","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","5671/DELNP/2010","10/08/2010","""GALVANIZED STEEL SHEET WITH THIN PRIMARY CORROSION-PROOF COATING LAYER, EXCELLING IN SURFACE CONDUCTIVITY, AND PROCESS FOR PRODUCING THE SAME""","CHEMISTRY","31","5","19/04/2023"
"14/2017","07/04/2017","Kolkata","CONVENTION APPLICATION","578/KOL/2007","13/04/2007","MEDICAL INSTRUMENT HAVING AN ARTICULATABLE END EFFECTOR","BIOMEDICAL","29","10","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","5866/DELNP/2009","11/09/2009","""WIND TURBINE COMPRISING LOAD TRANSMITTING COMPONENTS""","MECHANICAL","13","12","19/04/2023"
"14/2017","07/04/2017","Delhi","ORDINARY APPLICATION","602/DEL/2008","11/03/2008","NOVEL PHENANATHRYLPHENOL LINKED PYRROLO [2,1,-C][1,4] BENZODIAZEPINE HYBRIDS AS POTENTIAL ANTITUMOUR AGENTS AND PROCESS FOR THE PREPARATION THEREOF","CHEMISTRY","19","7","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","6064/DELNP/2010","26/08/2010","""COMPOUNDS AND METHOD FOR REDUCING URIC ACID""","CHEMISTRY","120","39","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","6073/DELNP/2007","03/08/2007","""DEVICE AND PROCESS FOR CLEANING, ACTIVATION OR PRETREATMENT OF WORK PIECES BY MEANS OF CARBON DIOXIDE BLASTING""","MECHANICAL","16","28","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","6112/DELNP/2009","23/09/2009","""ENHANCED PRODUCTION OF FATTY ACID DERIVATIVES""","BIOTECHNOLOGY","211","203","19/04/2023"
"14/2017","07/04/2017","Delhi","ORDINARY APPLICATION","613/DEL/2010","16/03/2010","""SELF-HEALING COMPOSITON COMPRISING MICROENCAPSULATED EPOXY AND HARDENER INSIDE POLYUREA MICROCAPSULES""","CHEMISTRY","23","11","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","6130/DELNP/2006","19/10/2006","IMPROVED SUBSCRIBER AUTHENTICATION FOR UNLICENSED MOBILE ACCESS SIGNALING","ELECTRONICS","42","32","19/04/2023"
"14/2017","07/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","6208/CHENP/2009","20/10/2009","""CYCLIC RECEPTOR-ASSOCIATED PROTEIN (RAP) PEPTIDES""","BIOTECHNOLOGY","147","52","19/04/2023"
"14/2017","07/04/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","622/KOLNP/2006","17/03/2006","AN OIL IN WATER FOAMABLE EMULSION","CHEMISTRY","59","24","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","6227/DELNP/2007","10/08/2007","""1,3-DIHYDRO-BENZIMIDAZOL-2--YLIDENE AMINES AS INHIBITORS OF RESPIRATORY SYNCYTIAL VIRUS REPLICATION""","CHEMISTRY","47","12","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","6231/DELNP/2007","10/08/2007","""AUTOMOTIVE DOOR INSIDE PANEL EQUIPPED WITH SUNSHADE""","MECHANICAL","14","10","19/04/2023"
"14/2017","07/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","6273/CHENP/2009","23/10/2009","METHOD FOR TRANSMITTING CONTRAOL INFORMATION, AND METHOD FOR GENERATING CODEWORD FOR THE SAME","COMMUNICATION","50","21","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","6345/DELNP/2007","14/08/2007","JOINT ASSEMBLY, PARTICULARLY FOR BOGIE BRAKE LINKAGES","MECHANICAL","13","8","19/04/2023"
"14/2017","07/04/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","635/KOLNP/2007","21/02/2007","A LOW CALORIE GAS SUPPLY SYSTEM, A GAS TURBINE SYSTEM, AND A METHOD OF SUPPRESSING A RISE IN A CALORIE OF A LOW CALORIE GAS USED AS A GAS TURBINE FUEL","MECHANICAL","67","23","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","6382/DELNP/2007","17/08/2007","""AIRCRAFT ENGINE FUEL SUPPLY""","MECHANICAL","19","10","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","6417/DELNP/2006","31/10/2006","BASE STATION SYSTEM AND METHOD FOR COMPENSATING TRAFFIC CHANNEL SIGNAL STRENGTH MEASUREMENTS IN A CELLULAR RADIO TELECOMMUNICATION NETWORK","ELECTRONICS","17","18","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","6448/DELNP/2010","13/09/2010","METHOD FOR PRODUCING DIHYDROXYBENZENE DERIVATIVE","CHEMISTRY","31","10","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","6603/DELNP/2008","30/07/2008","""NOVEL VIRAL VECTOR""","BIOTECHNOLOGY","96","31","19/04/2023"
"14/2017","07/04/2017","Mumbai","ORDINARY APPLICATION","663/MUM/2011","10/03/2011","AGRICULTURAL COMPOSITION","CHEMISTRY","25","19","19/04/2023"
"14/2017","07/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","6662/CHENP/2009","11/11/2009","A SWITCH MODULE SYSTEM","ELECTRONICS","25","11","19/04/2023"
"14/2017","07/04/2017","Kolkata","CONVENTION APPLICATION","669/KOL/2009","27/04/2009","APPARATUS AND METHOD FOR QUICK START ENGINE AND HYBRID SYSTEM","MECHANICAL","18","18","19/04/2023"
